nameList,gianName,flag
"加藤紘一君,森喜朗君,山崎拓君,小杉隆君,玉沢徳一郎君,坂本三十次君,谷川和穗君,村田敬次郎君,綿貫民輔君,白川勝彦君,武部勤君,村上誠一郎君,虎島和夫君,大野功統君,伊藤茂君,武村正義君",国会法及び公職選挙法の一部を改正する法律案,0
"加藤紘一君,森喜朗君,山崎拓君,小杉隆君,玉沢徳一郎君,坂本三十次君,谷川和穗君,村田敬次郎君,綿貫民輔君,臼井日出男君,白川勝彦君,武部勤君,村上誠一郎君,虎島和夫君,大野功統君,伊藤茂君,武村正義君",政治倫理の確立のための国会議員の資産等の公開等に関する法律の一部を改正する法律案,0
"加藤紘一君,森喜朗君,山崎拓君,小杉隆君,玉沢徳一郎君,坂本三十次君,谷川和穗君,村田敬次郎君,綿貫民輔君,臼井日出男君,白川勝彦君,武部勤君,村上誠一郎君,虎島和夫君,大野功統君,伊藤茂君,武村正義君",政治倫理の確立のための国会議員の仮名による株取引等の禁止に関する法律案,0
"小川元君,杉浦正健君,保坂展人君,武村正義君",国家公務員倫理法案,0
"小川元君,杉浦正健君,保坂展人君,武村正義君",自衛隊員倫理法案,0
"山本孝史君,生方幸夫君,北村哲男君,今田保典君,佐々木秀典君,田中慶秋君,樽床伸二君,藤田幸久君,山花貞夫君",国会議員の地位利用収賄等の処罰に関する法律案,0
"遠藤和良君,石田幸四郎君,倉田栄喜君,坂口力君,西川知雄君",国会議員等の地位利用収賄等の処罰等に関する法律案,0
"遠藤和良君,石田幸四郎君,倉田栄喜君,坂口力君,西川知雄君",政治倫理の確立のための国会議員の仮名による株取引等の禁止等に関する法律案,0
"田中甲君,島聡君,原口一博君,松沢成文君",公職選挙法の一部を改正する法律案,0
"笹木竜三君,河村たかし君,石田勝之君,枝野幸男君,深田肇君,古川元久君,若松謙維君",行政評価基本法案,0
"冬柴鐵三君,中野寛成君,草川昭三君,鳩山由紀夫君,北橋健治君,堀込征雄君,小林守君,平田米男君,北側一雄君,海江田万里君,赤羽一嘉君,上田勇君,中野清君,鍵田節哉君,冨沢篤紘君,今田保典君,中桐伸五君,生方幸夫君,並木正芳君",永住外国人に対する地方公共団体の議会の議員及び長の選挙権等の付与に関する法律案,0
"若松謙維君,石田幸四郎君,倉田栄喜君,大口善徳君,中野清君",国家公務員法及び自衛隊法の一部を改正する法律案,0
"若松謙維君,石田幸四郎君,倉田栄喜君,大口善徳君,中野清君",特殊法人の役員等の給与等の規制に関する法律案,0
"若松謙維君,石田幸四郎君,倉田栄喜君,大口善徳君,中野清君",日本銀行法の一部を改正する法律案,0
"東中光雄君,松本善明君,穀田恵二君",永住外国人に対する地方公共団体の議会の議員及び長の選挙権及び被選挙権の付与に関する法律案,0
"池田元久君,生方幸夫君,枝野幸男君,小沢鋭仁君,近藤昭一君,島聡君,城島正光君,末松義規君,中川正春君,原口一博君,松沢成文君",国会における審議の活性化等を図るための国会法及び国家行政組織法等の一部を改正する法律案,0
